,RNAi Phenotype Observed,Allele Phenotype Observed
WBGene00003164,"avoids bacterial lawn, embryonic lethal, germ cell development variant, gonad development variant, larval arrest, larval lethal, male sterile, mRNA levels reduced, multivulva, oogenesis variant, organism hypertonic lethality increased, protein aggregation variant, protruding vulva, rays missing, slow growth, spermatogenesis variant, sterile, transgene expression reduced, transgene subcellular localization variant, vulval cell induction reduced","larval arrest, late larval arrest, male tail morphology variant, oogenesis variant, protruding vulva, spermatogenesis variant, sterile, vulval cell induction reduced"
WBGene00003165,dauer lifespan extended,"amphid neuron morphology variant, axon fasciculation variant, axon trajectory variant, chloride chemotaxis defective, dauer formation variant, dye filling defect, ivermectin resistant, locomotion reduced, male mating efficiency reduced, mechanosensory system variant, neurite morphology variant, neuron positioning variant, neuronal ECM variant, neuronal sheath cell morphology variant, sluggish, sodium chemotaxis defective, touch receptor cell morphology variant, touch resistant"
WBGene00003166,N.A.,"chloride chemotaxis defective, locomotion reduced, odorant positive chemotaxis defective, sluggish, sodium chemotaxis defective, touch resistant"
WBGene00003167,"dendrite development variant, male tail morphology variant, tail morphology variant","harsh body touch resistant, light body touch resistant, mechanosensation variant, neuron cell body absent misplaced, neuron development variant, neuron positioning variant, neuronal outgrowth variant, organism environmental stimulus response variant, pattern of transgene expression variant, sluggish, touch receptor cell morphology variant, touch resistant, touch resistant anterior body, transgene expression reduced"
WBGene00003168,touch resistant,"chemical response variant, chemotaxis variant, enhanced locomotion defective, light body touch resistant, mechanoreceptor current variant, mechanosensation variant, necrotic cell death increased, neuron degeneration, neuron degeneration enhanced, nose touch variant, plate tap reflex variant, predator escape defective, sluggish, spontaneous reversal rate variant, touch receptor cell morphology variant, touch resistant, touch resistant anterior body, touch resistant tail"
WBGene00003169,N.A.,"lectin binding variant, mechanosensation variant, sluggish, touch resistant"
WBGene00003170,dendrite development variant,"mechanosensation variant, necrotic cell death decreased, organism response to gravitational force abnormal, sluggish, touch resistant, transgene subcellular localization variant"
WBGene00003171,"breaks in alae, embryonic lethal, exploded through vulva, growth rate variant, larval arrest, larval lethal, lethal, level of protein expression variant, locomotion variant, protruding vulva, sick, small, sterile, thin, transgene expression variant","axon branching variant, axonal degeneration, ectopic neurite outgrowth, level of transgene expression variant, mechanosensation variant, microtubule organization biogenesis variant, neuron morphology variant, organism response to gravitational force abnormal, ribosome localization variant, sluggish, synaptic vesicle tag abnormal in mechanosensory neurons, touch receptor cell morphology variant, touch resistant, touch resistant anterior body, touch resistant tail, transgene subcellular localization variant"
WBGene00003172,"embryonic lethal, lethal, reduced brood size","alternative splicing defective, ammonium chloride chemotaxis defective, amphid neuron morphology variant, cephalic sensillum morphology variant, cilia morphology variant, dauer formation variant, deirid sensillum morphology variant, distal tip cell migration variant, dye filling defect, ivermectin resistant, male mating efficiency reduced, mechanosensation variant, mechanosensory system variant, paralyzed arrested elongation two fold, sluggish, touch resistant"
WBGene00003173,organism development variant,"organism response to gravitational force abnormal, sluggish, touch resistant, transgene subcellular localization variant"
WBGene00003174,touch resistant,"amplitude of sinusoidal movement variant, backing decreased, backing increased, backward point velocity decreased, body posture amplitude increased, body posture amplitude variant, body posture wavelength decreased, body posture wavelength increased, coiling frequency decreased, coiling frequency increased, enhanced locomotion defective, fat, forward locomotion decreased, forward point velocity decreased, frequency of body bend variant, head bend angle variant, light body touch resistant, long, mechanoreceptor current variant, mechanosensation variant, nose movement variant, organism response to gravitational force abnormal, path curvature increased, pausing increased, roaming reduced, short, sluggish, spontaneous reversal rate variant, tail bend angle variant, touch resistant, transgene subcellular localization variant, turning frequency variant"
WBGene00003175,"reduced brood size, sexually dimorphic mechanosensation variant","axon branching variant, axonal degeneration, level of transgene expression variant, mechanosensation variant, mitochondria morphology variant, mitochondrial content increased, mitophagy abnormal, neuron morphology variant, nose touch defective, sexually dimorphic mechanosensation variant, sluggish, synaptic vesicle tag abnormal in mechanosensory neurons, touch receptor cell morphology variant, touch resistant"
WBGene00003176,"dumpy, larval arrest, locomotion variant, pharyngeal pumping rate variant","sluggish, touch resistant"
WBGene00003177,N.A.,"axon branching variant, mechanosensation variant, neurite development variant, neuron morphology variant, sluggish, synaptic vesicle tag abnormal in mechanosensory neurons, touch receptor cell morphology variant, touch resistant"
WBGene00003178,N.A.,"axon outgrowth variant, axonal degeneration, mechanosensation variant, nose touch defective, touch resistant, transgene expression reduced"
WBGene00003179,N.A.,"sluggish, touch resistant"
WBGene00003180,"cell differentiation variant, cell division precocious, cell migration failure, ectopic expression transgene, late embryonic arrest, muscle missing, no Intestine, no pharynx, no posterior pharynx, transgene expression undetectable, transgene expression undetectable cell specific",N.A.
WBGene00003181,"cell differentiation variant, cell division precocious, cell migration failure, ectopic expression transgene, late embryonic arrest, muscle missing, no Intestine, no pharynx, no posterior pharynx, transgene expression undetectable, transgene expression undetectable cell specific",N.A.
WBGene00003182,"fungal resistance increased, pathogen resistance increased",N.A.
WBGene00003183,"Aba ABp division axis defective early emb, ABa ABp EMS synchronous division early emb, body wall muscle morphology variant, body wall muscle thick filament variant, cell cell contacts abnormal in four cell embryo, cytokinesis defective early emb, cytokinesis variant emb, embryonic lethal, excess maternal pronucleus early emb, excessive blebbing early emb, growth variant, high incidence male progeny, meiosis defective early emb, meiotic cytoplasmic streaming phenotype, multiple nuclei early emb, P granule localization defective, passage through meiosis defective early emb, polar body defective early emb, pronuclear morphology defective early emb, pronuclear size defective early emb","embryonic lethal, failure to hatch, high incidence male progeny, maternal effect lethal emb, meiotic spindle defective early emb, mitosis variant, oocyte meiotic maturation variant, protein subcellular localization variant, spindle defective early emb"
WBGene00003184,"cytokinesis defective early emb, cytokinesis variant emb, embryonic lethal, excess maternal pronucleus early emb, maternal effect lethal emb, meiosis defective early emb, organism development variant, passage through meiosis defective early emb, polar body size defective early emb, spindle orientation variant","aneuploidy, development phenotype, embryonic lethal, hatching variant, high incidence male progeny, maternal effect lethal emb, meiotic progression during oogenesis variant, meiotic spindle assembly defective"
WBGene00003185,"Bacillus thuringiensis toxin hypersensitive, cell corpse number decreased, chemical response variant, pathogen susceptibility increased, pore forming toxin hypersensitive","cadmium hypersensitive, caffeine resistant, cell stress response variant, copper hypersensitive, genotoxic chemical induced apoptosis variant, kinase activity reduced, metal response variant, organism oxidative stress response hypersensitive, organism starvation hypersensitive, protein phosphorylation reduced, protein phosphorylation variant, shortened life span"
WBGene00003186,"apoptosis reduced, cell membrane organization biogenesis variant, diplotene absent during oogenesis, embryo osmotic integrity defective early emb, embryonic lethal, embryonic lethal late emb, exploded through vulva, germ cell compartment anucleate, germ cell compartment multinucleate, germ cell partition absent, germ cell partition morphology variant, germline nuclear positioning variant, larval arrest, late embryonic arrest, lethal, maternal sterile, no oocytes, nuclei small, oocyte number decreased, oocyte physiology variant, organism development variant, pachytene arrested germline nuclei, pachytene progression during oogenesis variant, pachytene region organization variant, posterior reversed vulval lineage, protein degradation variant, protruding vulva, proximal germ cell proliferation variant, rachis wide, reduced brood size, shortened life span, sick, sterile, transgene expression reduced","AWA odorant chemotaxis defective, AWC odorant chemotaxis defective, bacterially unswollen, constipated, genotoxic chemical induced apoptosis variant, germ cell arrest, germ nuclei rachis, late larval lethal, lethal, metabolic pathway variant, no oocytes, organism temperature response variant, pachytene region organization variant, pathogen susceptibility increased, protein degradation variant, rod like larval lethal, sterile, vulval cell lineage variant, vulvaless"
WBGene00003187,maternal effect lethal emb,N.A.
WBGene00003189,maternal effect lethal emb,N.A.
WBGene00003190,maternal effect lethal emb,N.A.
WBGene00003191,maternal effect lethal emb,N.A.
WBGene00003192,maternal effect lethal emb,N.A.
WBGene00003193,maternal effect lethal emb,N.A.
WBGene00003194,maternal effect lethal emb,N.A.
WBGene00003195,maternal effect lethal emb,N.A.
WBGene00003196,"early elongation arrest, embryonic lethal, germ cell morphology variant, maternal sterile, one point five fold arrest emb, organism development variant, pattern of transgene expression variant, rachis morphology variant, receptor mediated endocytosis defective, sick, spermatheca physiology variant, sterile progeny, transgene subcellular localization variant, vulva morphology variant","body length variant, early elongation arrest, embryonic arrest, gonad morphology variant, lethal, maternal effect lethal emb, organism morphology variable, sterile"
WBGene00003197,maternal effect lethal emb,N.A.
WBGene00003198,maternal effect lethal emb,N.A.
WBGene00003199,maternal effect lethal emb,N.A.
WBGene00003201,maternal effect lethal emb,N.A.
WBGene00003202,maternal effect lethal emb,N.A.
WBGene00003203,maternal effect lethal emb,N.A.
WBGene00003204,maternal effect lethal emb,N.A.
WBGene00003205,maternal effect lethal emb,N.A.
WBGene00003206,"male tail morphology variant, maternal effect lethal emb",N.A.
WBGene00003207,maternal effect lethal emb,N.A.
WBGene00003208,"male tail development variant, maternal effect lethal emb, sterile",N.A.
WBGene00003209,"body wall muscle thick filament variant, chromosome segregation variant, dumpy, embryonic lethal, failure to hatch, larval arrest, lethal, microtubule organization biogenesis variant, organism morphology variant, population fitness phenotype, spindle elongation integrity defective early emb, spindle orientation defective early emb, spindle position defective early emb, transgene subcellular localization variant","body wall muscle thick filament variant, embryonic lethal, failure to hatch, high incidence male progeny, lethal, maternal effect lethal emb, organism morphology variable, protein expression absent, spindle defective early emb, spindle orientation defective early emb, sterile"
WBGene00003210,"adult lethal, antibody staining reduced, antibody subcellular localization variant, cell cell contacts abnormal in four cell embryo, cell division variant, chromosome segregation variant, ectopic cleavage furrow early emb, embryonic cell organization biogenesis variant, embryonic lethal, exaggerated asynchrony early emb, excessive blebbing early emb, exploded through vulva, extended life span, lethal, locomotion variant, multiple nuclei early emb, nuclear appearance variant, nuclear envelope assembly variant early emb, nucleus defective early emb, organism development variant, polar body defective early emb, pronuclear migration defective early emb, pronuclear nuclear appearance defective early emb, pronuclear size defective early emb, protein expression reduced, protein subcellular localization variant, pseudocleavage exaggerated early emb, spindle defective early emb, spindle orientation variant AB or P1 early emb, sterile","chromosome segregation variant, lethal, mitotic spindle defective early emb, nuclear appearance variant, polar body size defective early emb, pronuclear nuclear appearance defective early emb, pronuclear nuclear appearance variant emb, sterile"
WBGene00003211,embryonic arrest,N.A.
WBGene00003212,"cell division slow, embryonic arrest",N.A.
WBGene00003213,"maternal effect lethal emb, sterile",N.A.
WBGene00003214,"cell cleavage variant, cell cycle delayed, cell development variant, embryonic lethal, extended life span","maternal effect lethal emb, pattern of transgene expression variant"
WBGene00003215,N.A.,N.A.
WBGene00003216,N.A.,N.A.
WBGene00003217,N.A.,N.A.
WBGene00003218,"apoptosis increased, cell differentiation variant, cell fate transformation, ectopic expression antibody, ectopic expression transgene, epithelial morphology variant, exploded through vulva, gonad development variant, intestinal cell morphology variant, L1 arrest, larval arrest, larval lethal, lethal, maternal sterile, mRNA levels increased, multivulva, no induction of antimicrobial peptide expression after infection, nuclear appearance variant, P granule localization defective, pattern of gene expression variant, pattern of transgene expression variant, protein aggregation variant, protein subcellular localization variant, protruding vulva, reduced brood size, shortened life span, slow growth, sterile, sterile progeny, thin, transgene expression increased, transgene expression reduced, transgene subcellular localization variant","lethal, sterile"
WBGene00003219,"asymmetric cell division variant, cell division polarity variant, egg morphology variant, embryonic cell fate specification variant, embryonic lethal, larval lethal, no Intestine, organism development variant, P granule localization defective, slow growth, sterile progeny, three fold arrest","cell division variant, cell fate transformation, division axis defective, germline proliferation variant, lawn leaving behavior variant, maternal effect sterile, muscle excess, neuron degeneration variant, no germ line, P granule localization defective, pathogen resistance increased, protein phosphorylation reduced, protein subcellular localization variant, reduced brood size, spindle orientation defective early emb, spindle orientation variant, sterile F1"
WBGene00003220,"apoptosis increased, ectopic expression antibody, extended life span, fewer germ cells, germ cell morphology variant, high temperature induced L1 arrest, histone methylation variant, multivulva, protein methylation variant, sterile, sterile F1","fewer germ cells, maternal effect sterile, organism hypersensitive ionizing radiation, reduced brood size, RNAi response variant, sterile F1"
WBGene00003221,"apoptosis increased, embryonic lethal, high temperature induced L1 arrest, multivulva, sterile, sterile F1, sterile progeny","fewer germ cells, maternal effect sterile, reduced brood size, sterile, sterile progeny"
WBGene00003222,"apoptosis increased, ectopic expression transgene, embryonic lethal, extended life span, germline transgene silencing variant, high temperature induced L1 arrest, histone methylation variant, hyperinduction of antimicrobial peptide expression after infection, maternal effect sterile, mRNA levels increased, mRNA levels reduced, multivulva, protein aggregation variant, RNAi resistant, shortened life span, somatic transgene silencing variant, sterile progeny, transgene expression increased, transgene induced cosuppression variant","fewer germ cells, maternal effect sterile, reduced brood size, sterile F1"
WBGene00003223,"maternal effect sterile, sterile progeny",N.A.
WBGene00003224,"apoptosis increased, dauer lifespan extended, embryonic lethal, high temperature induced L1 arrest, larval lethal, multivulva, sick, sterile, sterile progeny","maternal effect sterile, sterile progeny"
WBGene00003225,"ATP levels reduced, dauer lifespan shortened, drug hypersensitive, embryonic lethal, fewer eggs laid, general pace of development defective early emb, increased levels of reactive oxygen species, life span phenotype, mitochondrial membrane potential reduced, neuron degeneration enhanced, oxygen consumption decreased, pattern of transgene expression variant, receptor mediated endocytosis defective, slow growth, sterile progeny, transgene expression increased","age associated fluorescence increased, aging variant, apoptosis increased, arsenite hypersensitive, cadmium hypersensitive, chemical response variant, drug induced life span variant, drug resistant, extra cell division postembryonic, general pace of development variant, growth inhibition response to chemical, hermaphrodite fertility variant, high oxygen hypersensitive, increased levels of reactive oxygen species, lethal, life span phenotype, metabolic pathway variant, mitochondrial metabolism variant, movement variant, oxygen consumption increased, paraquat hypersensitive, reduced brood size, shortened life span, silver nanoparticle hypersensitive, slow embryonic development, sterile, transgene subcellular localization variant"
WBGene00003226,paraquat hypersensitive,N.A.
WBGene00003227,N.A.,N.A.
WBGene00003228,"cell fate transformation, dauer lifespan extended, division axis defective, ectopic expression transgene, embryonic lethal, exploded through vulva, mRNA expression ectopic, no Intestine, no pharynx, sister cell division timing asynchrony reduced, sterile progeny, transgene expression undetectable, variable cell division timing","AB lineage variant, cell fate transformation, embryonic lethal, excess pharyngeal cells, maternal effect lethal emb, muscle excess, no Intestine, P granule localization defective"
WBGene00003229,"anterior enclosure defective, cell cycle timing defective early emb, cell fate transformation, cell position defective, comma arrest emb, division axis defective, ectopic expression antibody, ectopic expression transgene, ectopic hypodermis, embryonic arrest, embryonic cell fate specification variant, embryonic development variant, embryonic lethal, embryonic lethal late emb, excess hypodermal cells, failure to hatch, germ cell differentiation variant, hypodermis development variant, late embryonic arrest, lima bean arrest, muscle excess, neuron development variant, neuronal cell fate specification variant, nuclear appearance variant, organism development variant, pattern of transgene expression variant, pharyngeal development variant, protein expression variant, transgene expression increased, transgene expression reduced, ventral closure defective","AB lineage variant, cell fate transformation, D lineage variant, excess hypodermal cells, maternal effect lethal emb, muscle excess, P granule localization defective"
WBGene00003230,"anterior enclosure defective, cell fate transformation, comma arrest emb, cytoplasmic processing body variant, ectopic expression transgene, embryonic arrest, embryonic cell fate specification variant, embryonic lethal, excess hypodermal cells, hypodermis development variant, larval arrest, lima bean arrest, mRNA expression ectopic, neuron development variant, nuclear appearance variant, organism development variant, P granule abnormal, pattern of transgene expression variant, protein subcellular localization variant, reduced brood size, RNA degradation variant, shortened life span, slow embryonic development, transgene expression undetectable, variable cell division timing, ventral closure defective",N.A.
WBGene00003231,"Aba ABp division axis defective early emb, antibody staining variant, cell cell contacts abnormal in four cell embryo, cytoplasmic processing body variant, dumpy, ectopic expression antibody, ectopic expression transgene, embryonic arrest, embryonic development variant, embryonic lethal, EMS anterior extension fails early emb, excess hypodermal cells, excess pharyngeal cells, exploded through vulva, locomotion variant, mRNA expression ectopic, muscle excess, no Intestine, organism development variant, organism morphology variant, P granule abnormal, P0 spindle position abnormal, P2 EMS synchronous division early emb, pattern of transgene expression variant, protein subcellular localization variant, RNA degradation variant, sister cell division timing asynchrony reduced, spindle orientation variant AB or P1 early emb, synchronous second division early emb",N.A.
WBGene00003232,slow growth,"aldicarb hypersensitive, levamisole hypersensitive"
WBGene00003233,embryonic lethal,"aldicarb hypersensitive, levamisole hypersensitive"
WBGene00003234,N.A.,N.A.
WBGene00003235,embryonic lethal,N.A.
WBGene00003236,peptide uptake by intestinal cell decreased,N.A.
WBGene00003237,N.A.,N.A.
WBGene00003238,N.A.,"antibody staining reduced, axon regeneration defective, cell migration failure, cell migration variant, dendrite development variant, egg laying defective, egg laying variant, HSN migration variant, inhibition of synaptogenesis defective, male tail morphology variant, male tail sensory ray development variant, protein expression reduced, Q neuroblast lineage migration variant, spicules crumpled, transgene expression reduced"
WBGene00003239,"cell division polarity variant, cell migration variant, cleavage furrow defective early emb, distal tip cell migration variant, posterior reversed vulval lineage, vulvaless","axon branching variant, axon development variant, axon guidance variant, axon outgrowth variant, axon vesicle variant, cell migration variant, cell polarity variant, copper hypersensitive, distal tip cell migration variant, drug hypersensitive, drug response variant, ectopic neurite outgrowth, egg laying defective, egg laying variant, HSN migration variant, locomotion variant, lumpy, multivulva, neuron morphology variant, protein phosphorylation reduced, Q neuroblast lineage migration variant, tail withered, thrashing reduced"
WBGene00003240,N.A.,"cell migration variant, gonad development variant, twisted pharynx"
WBGene00003241,"asymmetric cell division variant, body axis development variant, cell division polarity variant, cell migration variant, cell polarity variant, division axis defective, egg laying variant, embryonic cell organization biogenesis variant, embryonic lethal, exploded through vulva, gastrulation variant, intestinal development variant, mitotic spindle defective early emb, no Intestine, nuclear anchoring variant, organism development variant, pattern protein expression variant, population fitness phenotype, Q neuroblast lineage migration variant, somatic gonad development variant, spindle rotation defective early emb, ventral enclosure variant","anterior posterior neurite growth variant, cell fate specification variant, cell migration variant, cell polarity variant, distal tip cell migration variant, dorsal intercalation defective, extra linker cells, gonad arm morphology variant, lineage variant, male gonad development variant, missing distal tip cells, Q neuroblast lineage migration variant, spindle orientation defective early emb, spindle orientation variant, transgene expression reduced, ventral closure defective, ventral enclosure variant, vulval cell induction reduced"
WBGene00003242,"adult lethal, blistered, dauer constitutive, distal tip cell migration variant, embryonic arrest, embryonic lethal, excretory canal morphology variant, exploded through vulva, gonad arm morphology variant, gonad development variant, L1 arrest, larval arrest, larval lethal, late larval arrest, locomotion variant, male gonad development variant, male somatic gonad development variant, maternal sterile, no oocytes, pattern of transgene expression variant, protruding vulva, receptor mediated endocytosis defective, reduced brood size, sick, slow growth, sterile, sterile progeny, transgene expression reduced","axon development variant, dendrite development variant, distal tip cell migration variant, lethal, organism oxidative stress response hypersensitive, organism oxidative stress response variant, protein expression absent, protein subcellular localization variant, shortened life span, sterile, twisted pharynx"
WBGene00003243,"cell development variant, egg laying variant, embryonic lethal, locomotion variant, slow growth","axon guidance variant, cell migration variant, dendrite development variant, dendritic termini number reduced, dye filling defect, egg laying defective, excretory canal short, HSN migration variant, neuron migration variant, presynaptic vesicle cluster localization variant, vulva morphology variant"
WBGene00003244,N.A.,"cell migration variant, egg laying defective, egg laying variant, HSN migration variant, locomotion variant, serotonin resistant, vulva morphology variant"
WBGene00003245,N.A.,"cell position defective early emb, Q neuroblast lineage migration variant"
WBGene00003246,spindle orientation defective early emb,"antibody staining reduced, cell division polarity variant, cell fate transformation, cell polarity reversed, cell polarity variant, egg laying defective, egg laying variant, embryonic lethal, excess pharyngeal cells, exploded through vulva, gonad migration variant, HSN migration variant, lethal, locomotion variant, male gonad morphology variant, male tail morphology variant, male tail sensory ray development variant, maternal effect lethal emb, neuron migration variant, no Intestine, P lineages variant, protein expression absent, protruding vulva, Q neuroblast lineage migration variant, spicules crumpled, spindle orientation defective early emb, sterile, vulva morphology variant, vulval cell induction reduced, vulval cell induction variant"
WBGene00003247,"axon outgrowth variant, cell migration variant, developmental delay postembryonic, distal tip cell migration variant, fat content reduced, locomotion variant, pattern of transgene expression variant, protruding vulva, receptor mediated endocytosis defective","aldicarb hypersensitive, drug response variant, dumpy, egg laying variant, epithelial development variant, gene expression level reduced, hook morphology variant, locomotion variant, protruding vulva, Q neuroblast lineage migration variant, rays missing, spicules crumpled, thrashing reduced"
WBGene00003248,N.A.,"cell migration failure, pharynx length increased"
WBGene00003249,N.A.,distal tip cell migration variant
WBGene00003250,N.A.,N.A.
WBGene00003251,N.A.,N.A.
WBGene00003252,Q neuroblast lineage migration variant,"blast cell morphology variant, mRNA expression variant, protein signaling variant, Q neuroblast lineage migration variant"
WBGene00003253,"chondroitin biosynthesis variant, cytokinesis defective early emb, early larval lethal, embryo osmotic integrity defective early emb, embryonic lethal, germ cell compartment morphology variant, heparan sulfate biosynthesis variant, maternal sterile, multiple nuclei early emb, nuclear appearance variant, oocyte morphology variant, organism homeostasis metabolism variant, pattern of transgene expression variant, protruding vulva, receptor mediated endocytosis defective, sterile","distal tip cell migration variant, sterile"
WBGene00003254,N.A.,distal tip cell migration variant
WBGene00003256,N.A.,N.A.
WBGene00003257,N.A.,N.A.
WBGene00003258,"Bacillus thuringiensis toxin hypersensitive, distal tip cell migration variant, embryonic lethal, exploded through vulva, failure to hatch, larval arrest, larval lethal, locomotion variant, pale, paralyzed, pore forming toxin hypersensitive, protruding vulva, slow growth","backward locomotion variant, early larval lethal, lethal, male mating defective, rays fused, reduced brood size, spicules crumpled"
WBGene00003259,N.A.,N.A.
WBGene00003260,N.A.,N.A.
WBGene00003261,N.A.,"aldicarb resistant, neuron degeneration reduced, presynaptic component localization variant"
WBGene00003262,N.A.,"extended life span, organism heat response variant, organism oxidative stress resistant, thermotolerance increased"
WBGene00003263,N.A.,"endomitotic oocytes, fertility reduced, oocyte number decreased, organism environmental stimulus response variant, pachytene progression during oogenesis variant"
WBGene00003264,N.A.,"endomitotic oocytes, fertility reduced, oocyte number decreased, organism environmental stimulus response variant, pachytene progression during oogenesis variant"
WBGene00003265,N.A.,"endomitotic oocytes, fertility reduced, oocyte number decreased, organism environmental stimulus response variant, pachytene progression during oogenesis variant"
WBGene00003266,N.A.,"endomitotic oocytes, fertility reduced, oocyte number decreased, organism environmental stimulus response variant, pachytene progression during oogenesis variant"
WBGene00003267,N.A.,"endomitotic oocytes, fertility reduced, oocyte number decreased, organism environmental stimulus response variant, pachytene progression during oogenesis variant"
WBGene00003268,N.A.,"endomitotic oocytes, fertility reduced, oocyte number decreased, organism environmental stimulus response variant, pachytene progression during oogenesis variant"
WBGene00003269,N.A.,"endomitotic oocytes, fertility reduced, oocyte number decreased, organism environmental stimulus response variant, pachytene progression during oogenesis variant"
WBGene00003270,N.A.,N.A.
WBGene00003271,N.A.,N.A.
WBGene00003272,N.A.,N.A.
WBGene00003273,N.A.,N.A.
WBGene00003274,N.A.,N.A.
WBGene00003275,N.A.,N.A.
WBGene00003277,N.A.,N.A.
WBGene00003278,N.A.,lethal
WBGene00003279,"diplotene progression during oogenesis variant, oocyte number decreased","oocyte number decreased, reduced brood size"
WBGene00003280,N.A.,N.A.
WBGene00003281,N.A.,N.A.
WBGene00003282,oocyte number decreased,"oocyte number decreased, reduced brood size"
WBGene00003283,oocyte number decreased,"oocyte number decreased, reduced brood size"
WBGene00003284,oocyte number decreased,"oocyte number decreased, reduced brood size"
WBGene00003285,N.A.,N.A.
WBGene00003286,N.A.,shortened life span
WBGene00003287,N.A.,N.A.
WBGene00003288,N.A.,N.A.
WBGene00003289,"oocyte number decreased, pachytene progression during oogenesis variant","oocyte number decreased, pachytene progression during oogenesis variant, reduced brood size"
WBGene00003290,N.A.,N.A.
WBGene00003291,N.A.,N.A.
WBGene00003292,N.A.,"gene expression level high, gene expression level reduced, male tail sensory ray development variant, protein phosphorylation reduced"
WBGene00003293,N.A.,"gene expression level high, gene expression level reduced, male tail sensory ray development variant, protein phosphorylation reduced"
WBGene00003294,N.A.,"male tail sensory ray development variant, protein phosphorylation reduced"
WBGene00003295,cell development variant,N.A.
WBGene00003296,N.A.,N.A.
WBGene00003297,N.A.,N.A.
WBGene00003298,N.A.,N.A.
WBGene00003299,shortened life span,shortened life span
WBGene00003300,oocyte number decreased,"oocyte number decreased, reduced brood size"
WBGene00003301,N.A.,N.A.
WBGene00003302,N.A.,N.A.
WBGene00003303,N.A.,N.A.
WBGene00003304,N.A.,N.A.
WBGene00003305,N.A.,N.A.
WBGene00003306,N.A.,N.A.
WBGene00003307,N.A.,neuron migration variant
WBGene00003308,N.A.,"extended life span, reduced brood size"
WBGene00003309,N.A.,shortened life span
WBGene00003310,N.A.,shortened life span
WBGene00003311,N.A.,"autophagy increased, extended life span"
WBGene00003312,N.A.,N.A.
WBGene00003313,N.A.,N.A.
WBGene00003314,N.A.,N.A.
WBGene00003315,N.A.,N.A.
WBGene00003316,N.A.,N.A.
WBGene00003317,N.A.,N.A.
WBGene00003318,N.A.,N.A.
WBGene00003319,N.A.,"amplitude of sinusoidal movement variant, ATP levels reduced, backing decreased, body posture wavelength increased, coiling frequency increased, fat, forward point velocity decreased, frequency of body bend variant, head bend angle variant, increased levels of reactive oxygen species, long, nose movement variant, shortened life span, tail bend angle increased, turning frequency reduced"
WBGene00003321,N.A.,N.A.
WBGene00003322,N.A.,"male tail sensory ray development variant, protein phosphorylation reduced"
WBGene00003323,N.A.,N.A.
WBGene00003324,N.A.,N.A.
WBGene00003325,N.A.,excretory secretory system physiology variant
WBGene00003326,N.A.,N.A.
WBGene00003327,N.A.,N.A.
WBGene00003328,N.A.,diet induced life span variant
WBGene00003329,N.A.,N.A.
WBGene00003330,N.A.,N.A.
WBGene00003331,N.A.,N.A.
WBGene00003332,N.A.,N.A.
WBGene00003333,N.A.,N.A.
WBGene00003334,N.A.,"acidification level defective, defecation variant, expulsion variant, intestinal calcium signaling variant, intestinal contractions variant, long defecation cycle, posterior body wall contraction defecation cycle variant"
WBGene00003335,N.A.,"developmental timing variant, retarded heterochronic variations"
WBGene00003336,N.A.,N.A.
WBGene00003337,N.A.,N.A.
WBGene00003338,N.A.,N.A.
WBGene00003339,N.A.,N.A.
WBGene00003340,N.A.,N.A.
WBGene00003341,N.A.,N.A.
WBGene00003342,N.A.,N.A.
WBGene00003343,embryonic lethal,N.A.
WBGene00003344,"transgene expression increased, transgene subcellular localization variant","oocyte number decreased, pachytene progression during oogenesis variant, reduced brood size"
WBGene00003345,"lysosome-related organelle morphology variant, RAB-11 recycling endosome morphology variant, transgene subcellular localization variant",N.A.
WBGene00003346,N.A.,N.A.
WBGene00003347,N.A.,N.A.
WBGene00003348,N.A.,"carbon dioxide avoidance variant, carbon dioxide response variant"
WBGene00003349,N.A.,N.A.
WBGene00003350,N.A.,N.A.
WBGene00003351,N.A.,N.A.
WBGene00003352,N.A.,N.A.
WBGene00003353,N.A.,"lethal, sterile"
WBGene00003354,N.A.,N.A.
WBGene00003355,N.A.,N.A.
WBGene00003356,N.A.,N.A.
WBGene00003357,N.A.,N.A.
WBGene00003358,N.A.,N.A.
WBGene00003359,N.A.,N.A.
WBGene00003360,fat content increased,N.A.
WBGene00003361,N.A.,N.A.
WBGene00003362,N.A.,N.A.
WBGene00003363,N.A.,N.A.
WBGene00003364,N.A.,N.A.
WBGene00003365,N.A.,N.A.
WBGene00003366,N.A.,N.A.
WBGene00003367,"anaphase bridging, cell cell contacts abnormal in four cell embryo, cytokinesis fails early emb, distal tip cell migration variant, ectopic cleavage furrow early emb, embryonic lethal, larval lethal, linker cell migration variant, male tail morphology variant, nuclear envelope assembly variant early emb, nucleus reforms cell division remnant early emb, polar body reabsorbed one two early emb, pronuclear size defective early emb, protein expression reduced, protruding vulva, reduced brood size, sick, sister chromatid segregation defective early emb","late larval lethal, maternal effect lethal emb"
WBGene00003368,"egg laying defective, pathogen induced gene expression variant, pathogen susceptibility increased, transgene expression increased, transgene expression reduced","colchicine resistant, genotoxic chemical induced apoptosis variant, hypersensitive to laser ablation, neuron degeneration enhanced, protein expression increased"
WBGene00003369,"locomotion variant, slow growth",N.A.
WBGene00003370,"egg laying variant, larval arrest, locomotion variant, sluggish, sterile",N.A.
WBGene00003371,"egg laying variant, locomotion variant, organism development variant",N.A.
